date;time;open;high;low;close;total_quantity;weighted_average;volume
2023-01-02;09:00:00;151.1999969482422;154.91000366210938;151.17999267578125;154.91000366210938;604;153.52554586549468;9272942.970275879
2023-01-02;10:00:00;154.5;155.24000549316406;152.83999633789062;155.1999969482422;802;154.1122573129554;12359803.036499023
2023-01-02;11:00:00;154.6300048828125;154.80999755859375;153.5;154.22999572753906;295;154.17644130900754;4548205.018615723
2023-01-02;12:00:00;154.25;154.25;153;153.2899932861328;171;153.35964965820312;2622450.0091552734
2023-01-02;13:00:00;153.24000549316406;153.44000244140625;151.91000366210938;152.75;167;152.60413264657208;2548489.015197754
2023-01-02;14:00:00;152.75;152.75;151.8000030517578;152.47000122070312;206;152.2179132109707;3135689.012145996
2023-01-02;15:00:00;152.47999572753906;153.25;152.19000244140625;152.72000122070312;128;152.84039103984833;1956357.0053100586
2023-01-02;16:00:00;152.82000732421875;154;152.82000732421875;153.75;194;153.53345489501953;2978549.024963379
2023-01-02;17:00:00;153.75;153.89999389648438;152.25;153.3699951171875;377;152.98503946562346;5767535.987854004
2023-01-02;18:00:00;153.3800048828125;153.64999389648438;153.3800048828125;153.64999389648438;23;153.53565448263416;353132.0053100586
2023-01-03;09:00:00;155.27999877929688;155.27999877929688;153.75999450683594;154.5;60;154.38433354695638;926306.0012817383
2023-01-03;10:00:00;154.5;154.58999633789062;152.02999877929688;152.35000610351562;1137;153.2031051380758;17419193.05419922
2023-01-03;11:00:00;152.67999267578125;153.05999755859375;150.1300048828125;150.6999969482422;1304;151.40183332946404;19742799.06616211
2023-01-03;12:00:00;150.6999969482422;151.9499969482422;150.5800018310547;151.3800048828125;279;151.15257974166596;4217156.9747924805
2023-01-03;13:00:00;151.3800048828125;152.38999938964844;151;151.6999969482422;956;151.48093150948878;14481577.052307129
2023-01-03;14:00:00;151.67999267578125;153.42999267578125;151.32000732421875;152.27000427246094;617;152.16933521536606;9388847.982788086
2023-01-03;15:00:00;152.44000244140625;153.77999877929688;152;152.66000366210938;409;152.9229591947896;6254549.0310668945
2023-01-03;16:00:00;152.61000061035156;152.86000061035156;151.39999389648438;152.22999572753906;348;151.85620761739796;5284596.025085449
